2017-03-16T07:00:00Z,2
2017-03-17T07:00:00Z,50
2017-03-18T07:00:00Z,0
2017-03-19T07:00:00Z,0
2017-03-20T07:00:00Z,0
2017-03-21T07:00:00Z,0
2017-03-22T07:00:00Z,0
2017-03-23T07:00:00Z,62
2017-03-24T07:00:00Z,23
2017-03-25T07:00:00Z,0
2017-03-26T07:00:00Z,0
2017-03-27T07:00:00Z,0
2017-03-28T07:00:00Z,2
2017-03-29T07:00:00Z,10
2017-03-30T07:00:00Z,4
2017-03-31T07:00:00Z,0
2017-04-01T07:00:00Z,0
2017-04-02T07:00:00Z,0
2017-04-03T07:00:00Z,0
2017-04-04T07:00:00Z,8
2017-04-05T07:00:00Z,42
2017-04-06T07:00:00Z,0
2017-04-07T07:00:00Z,20
2017-04-08T07:00:00Z,0
2017-04-09T07:00:00Z,0
2017-04-10T07:00:00Z,0
2017-04-11T07:00:00Z,8
2017-04-12T07:00:00Z,0
2017-04-13T07:00:00Z,6
2017-04-14T07:00:00Z,5
2017-04-15T07:00:00Z,0
2017-04-16T07:00:00Z,0
2017-04-17T07:00:00Z,0
2017-04-18T07:00:00Z,8
2017-04-19T07:00:00Z,16
2017-04-20T07:00:00Z,0
2017-04-21T07:00:00Z,2
2017-04-22T07:00:00Z,0
2017-04-23T07:00:00Z,0
2017-04-24T07:00:00Z,0
2017-04-25T07:00:00Z,4
2017-04-26T07:00:00Z,0
2017-04-27T07:00:00Z,14
2017-04-28T07:00:00Z,0
2017-04-29T07:00:00Z,0
2017-04-30T07:00:00Z,0
2017-05-01T07:00:00Z,0
2017-05-02T07:00:00Z,22
2017-05-03T07:00:00Z,23
2017-05-04T07:00:00Z,5
2017-05-05T07:00:00Z,1
2017-05-06T07:00:00Z,0
2017-05-07T07:00:00Z,0
2017-05-08T07:00:00Z,0
2017-05-09T07:00:00Z,0
2017-05-10T07:00:00Z,5
2017-05-11T07:00:00Z,2
2017-05-12T07:00:00Z,60
2017-05-13T07:00:00Z,12
2017-05-14T07:00:00Z,0
2017-05-15T07:00:00Z,14
2017-05-16T07:00:00Z,60
2017-05-17T07:00:00Z,0
2017-05-18T07:00:00Z,0
